Date,0-0.1,0.1-1,1-10,10-100,"100-1,000","1,000-10,000","10,000-100,000","100,000-1,000,000"
2022-05-25,255827,824332,1771185,4251300,3898935,5098896,2174241,771928
2022-05-26,256046,824821,1768157,4247284,3899401,5106040,2173368,772409
2022-05-27,256155,825298,1768994,4246603,3902953,5105083,2170862,772495
2022-05-28,256454,825944,1770479,4245804,3903527,5107404,2167226,772495
2022-05-29,256393,826432,1771280,4248292,3903429,5120362,2151624,772495
2022-05-30,256238,826779,1772110,4247211,3900050,5123954,2152374,772495
2022-05-31,256427,827187,1772798,4243338,3900533,5115244,2271502,665082
2022-06-01,256703,827658,1773260,4241868,3904158,5098882,2285395,665082
2022-06-02,256766,827798,1774585,4243619,3898015,5126462,2261411,665082
2022-06-03,256800,828070,1775203,4241267,3898058,5121637,2268551,665082
2022-06-04,256846,828465,1775998,4244045,3891553,5148511,2245001,665082
2022-06-05,256911,828755,1775930,4244092,3891931,5118106,2275643,665082
2022-06-06,256821,828747,1776291,4243312,3890419,5134982,2261696,665082
2022-06-07,256807,829432,1777907,4243205,3888148,5134066,2263759,665082
2022-06-08,256869,829735,1778043,4245073,3886558,5134205,2263628,665382
2022-06-09,257212,830456,1779580,4243363,3890284,5128034,2266090,665382
2022-06-10,257406,830993,1780382,4245029,3895362,5112801,2274514,664882
2022-06-11,257321,831762,1781428,4246285,3893980,5117024,2269604,664882
2022-06-12,257537,832502,1783551,4245897,3889419,5126815,2262489,664882
2022-06-13,258147,834239,1788659,4252780,3877293,5147149,2240776,664882
2022-06-14,258195,836826,1792559,4255456,3865285,5112556,2269904,674057
2022-06-15,258276,837685,1795246,4250554,3849351,5115753,2182329,776624
2022-06-16,258719,838404,1798988,4252970,3843585,5128449,2135805,809687
2022-06-17,259340,840766,1803606,4258300,3850358,5089959,2154943,810008
2022-06-18,259450,843021,1807359,4265223,3851750,5097929,2166915,776596
2022-06-19,259779,844596,1809614,4262946,3854023,5093549,2167991,776596
2022-06-20,260164,845570,1811247,4263648,3854463,5103449,2154782,776596
2022-06-21,260450,847547,1814744,4265476,3861957,5093086,2150999,776596
2022-06-22,260879,849019,1816521,4265712,3857980,5096811,2148138,776596
2022-06-23,261045,850893,1819668,4269254,3858689,5074011,2161613,777416
2022-06-24,261545,853006,1822868,4270165,3861512,5057696,2169185,777416
2022-06-25,261809,853951,1823830,4272261,3862427,5043889,2178750,777452
2022-06-26,262368,855125,1825748,4273311,3860326,5043030,2177865,777452
2022-06-27,262463,856284,1827093,4272821,3861500,5052839,2165559,777452
2022-06-28,262495,857753,1830100,4271969,3861690,5057269,2157937,777812
2022-06-29,262513,857918,1827251,4270127,3870988,5055541,2154978,778627
2022-06-30,263044,860498,1828829,4270452,3870194,5061544,2145767,778627
2022-07-01,263784,862279,1830870,4276919,3866678,5062716,2137375,779228
2022-07-02,264097,864370,1835850,4278940,3868821,5073730,2115472,779414
2022-07-03,264337,865607,1837945,4278592,3859485,5081975,2114265,779414
2022-07-04,264562,867071,1840296,4283334,3860543,5074642,2112707,779414
2022-07-05,264824,868480,1842810,4288315,3866454,5063965,2109082,779414
2022-07-06,265320,870263,1844921,4291709,3868102,5063611,2100620,779548
2022-07-07,265065,870715,1845937,4291458,3865109,5067686,2099563,779548
2022-07-08,265421,871449,1847038,4292620,3849129,5060530,2120290,779548
2022-07-09,265690,872099,1849397,4292345,3852527,5052700,2122520,779548
2022-07-10,265905,872669,1850217,4295710,3849957,5053160,2120658,779548
2022-07-11,266206,873570,1851608,4300031,3854418,5060841,2102386,779548
2022-07-12,266078,874266,1852949,4302039,3859231,5017688,2137719,779548
2022-07-13,266969,875752,1855381,4304186,3860650,5018389,2128829,780069
2022-07-14,266858,876089,1853293,4299972,3870235,5027120,2117308,780107
2022-07-15,266666,876456,1854864,4298739,3860578,5022302,2132162,780107
2022-07-16,266931,876951,1856535,4298180,3868036,5010096,2135924,780107
2022-07-17,266960,877732,1856869,4300968,3866164,4993555,2151225,780107
2022-07-18,267256,878816,1858240,4300937,3872321,4989111,2148111,779607
2022-07-19,267129,879571,1858685,4306232,3873317,4976177,2286920,647224
2022-07-20,267281,880320,1859932,4301266,3871491,4989927,2278564,647224
2022-07-21,267094,880173,1859869,4298506,3876004,4957829,2177298,780102
2022-07-22,267490,881123,1860229,4299649,3872373,4942617,2194136,780102
2022-07-23,267636,881449,1862057,4299023,3870359,4943044,2194963,780102
2022-07-24,267869,881821,1861931,4298156,3867252,4947331,2195156,780102
2022-07-25,267841,882297,1863551,4302228,3866992,4952109,2185429,780102
2022-07-26,267935,882917,1864676,4302656,3863396,4932109,2208242,779607
2022-07-27,268229,883677,1865425,4301637,3869680,4922051,2212312,779607
2022-07-28,268102,883354,1866058,4301840,3864395,4925930,2214163,779607
2022-07-29,268259,883502,1866553,4299628,3863924,4940056,2203300,779107
2022-07-30,268435,883546,1866157,4297750,3870281,4929722,2210196,779107
2022-07-31,268555,884022,1867149,4301966,3870769,4925752,2208799,779107
2022-08-01,268726,884495,1867829,4300214,3872050,4930530,2203997,779107
2022-08-02,268779,885082,1868585,4298505,3872685,4918522,2216722,779107
2022-08-03,268641,885265,1868758,4297593,3870618,4925447,2213452,779107
2022-08-04,269293,886105,1870056,4297703,3865863,4945624,2195924,779107
2022-08-05,269496,886417,1869807,4298005,3871779,4957355,2178670,779107
2022-08-06,269294,886493,1870211,4299184,3869476,4958649,2179204,779107
2022-08-07,269493,886775,1870626,4301435,3873444,4953296,2178406,779107
2022-08-08,269395,886797,1870679,4302892,3872815,4953176,2178683,779107
2022-08-09,269783,887416,1872471,4304071,3863142,4946828,2191595,779107
2022-08-10,269478,887652,1872786,4308102,3867050,4946545,2184668,779107
2022-08-11,269831,888214,1873353,4308965,3868025,4944266,2184450,779107
2022-08-12,269957,888118,1874235,4308239,3873979,4946621,2176886,779107
2022-08-13,270016,888459,1874600,4309937,3868722,4949169,2178067,779107
2022-08-14,270002,888868,1875427,4309144,3869085,4952733,2174504,779107
2022-08-15,269988,889118,1875567,4310551,3876326,4951672,2167479,779107
2022-08-16,269967,889777,1877361,4310835,3875593,4936368,2181081,779749
2022-08-17,269296,889450,1876881,4312198,3869667,4939579,2184710,779749
2022-08-18,269177,889537,1876806,4312947,3873750,4942311,2178019,779867
2022-08-19,269540,890202,1878417,4314993,3874779,4932662,2182688,780193
2022-08-20,269919,890866,1878410,4316272,3877142,4928246,2182884,780741
2022-08-21,269964,891028,1878755,4316452,3875291,4929993,2183112,780741
2022-08-22,270155,891791,1879703,4319215,3869199,4940319,2174435,781455
2022-08-23,269787,892464,1880046,4320745,3874839,4931753,2176191,781455
2022-08-24,269609,892953,1880126,4322641,3870180,4950380,2160789,781620
2022-08-25,269661,893377,1881149,4318997,3874112,4964687,2145607,781620
2022-08-26,269525,893774,1881695,4320080,3870531,4974408,2138446,781879
2022-08-27,269554,894207,1881760,4320714,3874025,4966722,2142389,781879
2022-08-28,269561,894584,1882687,4319535,3874876,4967859,2141267,781879
2022-08-29,269338,895206,1883215,4321431,3873841,4972096,2136205,781879
2022-08-30,269224,896238,1884032,4322453,3872869,4955920,2150444,783032
2022-08-31,269360,896361,1883967,4322698,3871755,4951853,2156052,783129
2022-09-01,269597,896908,1885046,4324304,3873554,4943338,2160162,783129
2022-09-02,270014,897133,1884425,4324084,3872156,4930679,2175230,783129
2022-09-03,270113,897533,1885409,4323055,3871481,4930812,2176179,783129
2022-09-04,270187,897900,1885861,4325135,3868027,4934104,2174450,783129
2022-09-05,270055,898178,1885932,4325360,3866724,4941826,2168480,783129
2022-09-06,270257,899153,1887373,4325451,3872481,4939706,2162613,783607
2022-09-07,270002,899690,1888409,4327926,3879459,4928502,2163039,784530
2022-09-08,270173,900058,1888756,4328572,3873719,4927594,2168859,784626
2022-09-09,270413,899831,1888091,4327421,3886128,4902788,2183807,784789
2022-09-10,270467,899644,1888841,4329165,3882041,4904681,2184629,784789
2022-09-11,270475,899485,1888542,4330636,3883360,4904494,2183599,784789
2022-09-12,270324,899529,1888817,4329776,3881298,4905388,2186447,784789
2022-09-13,270531,899865,1888786,4326887,3889858,4920171,2167382,783789
2022-09-14,270574,900462,1889703,4328640,3873726,4926074,2175050,783789
2022-09-15,270864,900944,1889459,4331166,3878784,4914240,2179685,783789
2022-09-16,271479,901412,1890312,4330342,3879486,4911342,2180363,784989
2022-09-17,271581,901700,1890944,4329104,3884338,4903656,2184436,784989
2022-09-18,271702,901851,1890912,4329465,3882366,4903040,2187397,784989
2022-09-19,271758,902420,1892744,4332386,3878926,4894152,2194291,785915
2022-09-20,271583,902332,1893800,4332141,3882144,4915414,2169953,786156
2022-09-21,271442,902709,1893496,4331138,3881824,4911014,2176633,786156
2022-09-22,271351,903334,1893962,4336097,3901859,4880793,2181697,786156
2022-09-23,271576,903502,1894916,4336789,3887456,4871665,2203614,786507
2022-09-24,271745,903703,1894985,4336906,3887337,4869874,2205867,786507
2022-09-25,272015,903953,1895595,4335841,3883349,4875674,2204901,786507
2022-09-26,272005,904406,1894165,4338253,3882055,4864911,2216472,786507
2022-09-27,272073,904661,1894751,4335433,3886966,4863127,2216051,786507
2022-09-28,271875,904809,1894491,4335797,3867445,4871977,2227636,786507
2022-09-29,271946,905226,1894785,4334944,3865376,4883586,2177019,828555
2022-09-30,272184,905668,1895385,4332647,3868039,4883853,2176132,828555
2022-10-01,272229,905624,1896328,4331052,3872879,4897976,2158950,828555
2022-10-02,271816,906124,1896605,4329830,3875484,4904311,2151875,828555
2022-10-03,271743,906324,1895864,4332798,3883517,4891378,2155395,828555
2022-10-04,271559,906546,1896396,4332207,3887025,4897888,2146422,828555
2022-10-05,271488,906516,1896552,4335050,3883836,4899981,2145739,828555
2022-10-06,271690,906630,1896591,4331661,3874279,4908739,2151522,827555
2022-10-07,271847,907177,1897483,4334453,3870636,4913547,2147000,827555
2022-10-08,272199,907677,1899399,4332582,3862595,4923244,2145556,827555
2022-10-09,272669,908309,1899468,4333097,3865223,4919555,2145935,827555
2022-10-10,272392,908592,1899413,4334093,3867449,4915759,2147590,827555
2022-10-11,272418,908933,1900005,4335563,3870257,4908673,2150426,827555
2022-10-12,272507,909480,1900639,4333892,3867991,4902151,2160566,827555
2022-10-13,272934,909845,1901760,4331707,3878000,4900443,2153317,827555
2022-10-14,273009,909999,1902085,4333276,3876084,4894207,2159881,828026
2022-10-15,273085,910202,1902786,4333774,3876391,4891220,2162040,828026
2022-10-16,273483,910988,1903228,4333361,3876432,4892180,2160745,828026
2022-10-17,273464,911215,1903217,4332586,3876066,4897135,2157627,828026
2022-10-18,273557,911506,1903700,4332220,3872745,4871407,2187102,828026
2022-10-19,273289,911272,1903441,4332499,3866875,4886753,2179068,828026
2022-10-20,273140,911392,1904858,4333338,3865586,4889186,2176582,828026
2022-10-21,273107,911540,1905366,4334028,3863599,4881586,2185854,828026
2022-10-22,273361,911929,1906991,4332691,3867265,4876405,2187275,828026
2022-10-23,273755,912403,1906977,4332283,3868177,4878613,2184665,828026
2022-10-24,273744,912748,1906657,4334954,3873669,4861287,2194634,828026
2022-10-25,273896,913376,1907442,4337049,3871270,4867887,2187566,828026
2022-10-26,273236,912304,1904801,4330566,3870212,4873734,2337909,684712
2022-10-27,273256,912344,1905120,4330390,3869309,4882842,2331365,683712
2022-10-28,273209,912336,1905369,4331102,3868851,4882219,2332513,683712
2022-10-29,273798,912445,1905349,4331599,3869575,4874462,2339284,683712
2022-10-30,274065,912762,1905454,4330736,3869177,4875604,2339527,683712
2022-10-31,273909,912618,1904854,4331150,3866227,4871663,2347960,683712
2022-11-01,273736,913028,1905497,4329508,3864144,4852697,2370721,683712
2022-11-02,274029,913629,1906022,4331399,3858945,4856617,2369490,683712
2022-11-03,273877,913803,1906848,4329549,3865524,4838185,2383375,683712
2022-11-04,274247,914196,1907651,4329618,3868809,4789878,2428526,682712
2022-11-05,274269,914064,1907045,4327919,3868860,4791385,2430321,682712
2022-11-06,274630,914636,1907574,4330662,3862006,4792453,2432797,682712
2022-11-07,274457,915761,1911078,4336916,3870536,4790621,2416267,682712
2022-11-08,274849,917885,1915770,4339959,3879525,4765232,2423367,682712
2022-11-09,275624,922382,1923564,4340713,3885364,4749056,2418714,684844
2022-11-10,276507,928614,1933539,4342378,3891450,4744815,2396393,687521
2022-11-11,277656,933784,1942826,4344090,3885305,4750446,2379268,688623
2022-11-12,278324,938197,1950151,4347451,3882055,4692557,2424915,689423
2022-11-13,279379,943685,1959568,4349376,3875100,4691613,2415768,689423
2022-11-14,280576,949401,1968587,4359917,3869420,4675304,2410897,690623
2022-11-15,282088,953483,1973247,4360658,3873040,4648641,2423845,690623
2022-11-16,282891,955330,1975058,4359657,3877214,4637967,2429790,688623
2022-11-17,283527,957376,1979657,4366538,3875258,4621135,2433374,690623
2022-11-18,284238,958801,1982312,4364899,3860354,4624421,2442645,690623
2022-11-19,283858,958993,1983588,4364282,3861403,4622712,2444748,689623
2022-11-20,281804,958920,1986654,4365105,3862519,4625433,2440049,689623
2022-11-21,281533,961177,1990388,4370583,3859120,4621199,2437321,689623
2022-11-22,281324,963324,1993096,4370111,3861018,4603036,2450242,689623
2022-11-23,281239,965384,1995472,4370324,3861226,4649796,2298134,791026
2022-11-24,281567,967023,1997794,4367478,3861487,4660353,2286659,791051
2022-11-25,281542,968063,2000120,4369475,3865815,4652426,2284778,792005
2022-11-26,281704,969072,2003096,4370060,3864035,4649518,2284865,792558
2022-11-27,281380,970209,2003251,4373041,3868279,4637038,2285064,797500
2022-11-28,280902,971642,2005178,4372734,3868606,4642520,2284020,790986
2022-11-29,281043,973516,2008992,4375378,3864561,4649180,2271206,793567
2022-11-30,281351,975412,2010533,4376426,3869593,4649826,2259990,795155
2022-12-01,281131,976161,2012625,4380695,3865811,4652440,2254098,796313
2022-12-02,281610,977482,2014452,4379103,3881720,4630147,2262241,793307
2022-12-03,281837,977710,2015571,4381501,3879883,4616526,2273780,794053
2022-12-04,281730,978431,2016837,4383057,3874538,4620581,2274021,792503
2022-12-05,281331,979033,2017555,4383502,3874509,4631479,2264403,790781
2022-12-06,281400,980297,2019477,4384294,3874668,4603669,2289288,790369
2022-12-07,281119,980788,2021246,4384107,3874429,4601975,2288567,792276
2022-12-08,281151,981066,2022386,4386082,3882544,4608336,2274202,789795
2022-12-09,281267,981911,2023391,4385730,3884893,4602895,2380359,686123
2022-12-10,281204,982443,2024715,4386275,3885971,4601449,2379313,686123
2022-12-11,281194,983145,2025033,4388383,3884207,4600229,2380061,686123
2022-12-12,281377,984745,2027795,4392732,3891242,4604679,2360599,686123
2022-12-13,281551,987838,2034385,4406488,3898837,4603377,2331657,686123
2022-12-14,281925,989455,2037163,4408989,3902722,4610955,2314937,685123
2022-12-15,282288,990677,2039710,4407337,3902809,4605451,2318730,685123
2022-12-16,283128,992985,2043170,4413814,3908228,4611729,2295810,684123
2022-12-17,283250,994654,2045002,4421624,3912045,4589436,2303652,684123
2022-12-18,283460,996183,2047598,4425243,3908920,4599396,2289733,684123
2022-12-19,283915,997573,2048868,4422927,3914720,4594907,2302340,670307
2022-12-20,283993,998962,2049997,4422210,3910828,4595973,2304192,670307
2022-12-21,284226,999559,2050924,4422378,3910971,4616311,2282654,670307
2022-12-22,284535,1000158,2052535,4425062,3908414,4611654,2285534,670307
2022-12-23,285242,1000770,2053784,4423215,3910952,4593585,2301175,670307
2022-12-24,285803,1000827,2054184,4426087,3913954,4586584,2301852,670307
2022-12-25,285733,1000978,2055538,4423506,3914072,4588122,2302174,670307
2022-12-26,285767,1001639,2056456,4424993,3909337,4590258,2302486,670307
2022-12-27,286180,1002013,2056563,4424850,3911786,4584681,2305593,670307
2022-12-28,286320,1001343,2057277,4424853,3909905,4591434,2301611,670307
2022-12-29,286352,1002037,2057887,4427829,3916120,4582437,2300967,670307
2022-12-30,286344,1001781,2058116,4425895,3923667,4581701,2297021,670307
2022-12-31,286612,1002164,2058193,4427223,3920299,4579420,2301682,670307
2023-01-01,286703,1001453,2058516,4426324,3920896,4576779,2305853,670307
2023-01-02,286728,1001960,2059753,4424920,3921410,4566675,2316090,670307
2023-01-03,286956,1002853,2060948,4425828,3916774,4560092,2324979,670307
2023-01-04,286831,1002453,2062079,4428516,3911288,4564176,2324029,670307
2023-01-05,286754,1002701,2062616,4429671,3910116,4554600,2333871,670307
2023-01-06,286965,1003690,2062907,4430445,3917414,4564430,2315592,670306
2023-01-07,287507,1004636,2063030,4429801,3913941,4570027,2315500,668306
2023-01-08,287786,1004374,2063606,4430263,3912395,4570801,2316160,668306
2023-01-09,287789,1004647,2064820,4430970,3915377,4569955,2312752,668306
2023-01-10,287030,1004371,2063677,4434255,3917860,4570050,2310137,668306
2023-01-11,286838,1005392,2064599,4435882,3916155,4571162,2308291,668306
2023-01-12,286654,1005230,2062918,4434840,3917781,4582129,2299660,668306
2023-01-13,286517,1005564,2062417,4433469,3927775,4577420,2297024,668306
2023-01-14,286533,1004644,2060298,4433556,3925899,4590114,2290211,668306
2023-01-15,286819,1005027,2060938,4434742,3930547,4588226,2285975,668306
2023-01-16,286549,1004614,2059523,4431482,3920948,4598025,2292114,668306
2023-01-17,286323,1004508,2058786,4429346,3924598,4597033,2293623,668306
2023-01-18,286056,1003971,2058607,4428200,3918407,4621260,2278622,668306
2023-01-19,285804,1004169,2060759,4429672,3916081,4611249,2288231,668306
2023-01-20,286199,1004693,2061332,4429685,3916281,4619809,2278862,668306
2023-01-21,286590,1004848,2059996,4427017,3911569,4602038,2305678,668306
2023-01-22,286343,1004155,2060595,4427722,3910661,4602092,2307048,668306
2023-01-23,286104,1003962,2060191,4429435,3912381,4598823,2308703,668306
2023-01-24,286339,1004513,2060168,4428128,3910802,4627694,2282773,668306
2023-01-25,286453,1004778,2061138,4428818,3904599,4622209,2293491,668306
2023-01-26,286529,1004973,2061520,4428206,3905339,4610019,2305919,668306
2023-01-27,287012,1005278,2061172,4429311,3913407,4592138,2315143,668306
2023-01-28,287080,1005483,2060989,4430634,3911768,4573034,2335486,668306
2023-01-29,287458,1005546,2061371,4431913,3911142,4573503,2334546,668306
2023-01-30,287481,1005715,2062215,4431738,3907174,4568918,2343119,668306
2023-01-31,287802,1006159,2061798,4432288,3907892,4567296,2343876,668306
2023-02-01,287737,1005696,2061514,4434629,3911350,4577645,2329364,668306
2023-02-02,288000,1005933,2061594,4433624,3909290,4584635,2325767,668306
2023-02-03,288057,1005799,2062394,4428415,3911761,4572674,2340585,668306
2023-02-04,288121,1005801,2062142,4426922,3910243,4576102,2341177,668306
2023-02-05,288332,1006286,2061789,4428099,3910223,4574915,2341858,668306
2023-02-06,288518,1006539,2062166,4430132,3910491,4584551,2330015,668306
2023-02-07,289151,1007285,2063115,4429482,3905527,4587042,2331658,668306
2023-02-08,289287,1007691,2062938,4428948,3906865,4575020,2343448,668306
2023-02-09,289469,1008093,2063515,4428619,3904821,4592889,2327749,668306
2023-02-10,289972,1008305,2063622,4427647,3913033,4574435,2340694,666639
2023-02-11,290133,1008216,2063629,4430647,3907420,4574346,2347632,663306
2023-02-12,290678,1008551,2064533,4430880,3906630,4573962,2347763,663306
2023-02-13,290646,1009164,2064801,4429979,3911601,4574656,2343138,663306
2023-02-14,291074,1010210,2065919,4430658,3915628,4580935,2330579,663306
2023-02-15,291187,1010380,2065986,4429056,3912826,4570614,2345906,663306
2023-02-16,290702,1009908,2063839,4427787,3912478,4579750,2342609,663306
2023-02-17,290389,1009843,2063576,4430273,3910707,4581233,2342048,663306
2023-02-18,289126,1009307,2063587,4429085,3910395,4594361,2333312,663306
2023-02-19,288220,1009311,2064221,4427881,3912736,4596312,2331486,663306
2023-02-20,288094,1009608,2063439,4429446,3915557,4591332,2333642,663306
2023-02-21,287347,1009295,2064176,4429543,3914249,4580921,2346616,663306
2023-02-22,287518,1009549,2066914,4426533,3919948,4574153,2348388,663306
2023-02-23,287029,1009767,2067078,4425967,3919253,4563322,2361680,663306
2023-02-24,287403,1010271,2067450,4427189,3915813,4592485,2334354,663306
2023-02-25,288090,1010571,2066705,4428410,3917032,4588332,2336518,663306
2023-02-26,287889,1010393,2066554,4428607,3912794,4592767,2337661,663306
2023-02-27,287955,1011148,2066970,4433080,3912102,4580857,2345379,663306
2023-02-28,288471,1011828,2067005,4430325,3916577,4572053,2352155,663306
2023-03-01,289179,1012320,2066938,4429233,3904751,4558141,2378872,663306
2023-03-02,289928,1012699,2067584,4426190,3912031,4551686,2380227,663306
2023-03-03,290281,1013165,2068903,4423780,3917890,4548777,2378527,663306
2023-03-04,290983,1013940,2069395,4425115,3914559,4549015,2379334,663306
2023-03-05,290243,1014306,2070017,4425125,3917480,4561793,2364358,663306
2023-03-06,290504,1015209,2070958,4424304,3915209,4560288,2367674,663306
2023-03-07,290494,1014636,2071042,4427145,3908192,4582441,2351219,663306
2023-03-08,290568,1014436,2070604,4425623,3913090,4587898,2343832,663306
2023-03-09,291060,1014654,2070567,4426982,3907365,4587510,2348709,663306
2023-03-10,291841,1015977,2072587,4426591,3917825,4595838,2326999,663306
2023-03-11,292271,1018239,2077600,4434075,3923114,4582032,2321395,663306
2023-03-12,292474,1019439,2079594,4436633,3922894,4575716,2323002,663306
2023-03-13,292774,1019893,2080662,4437296,3927636,4546489,2345971,663306
2023-03-14,292536,1018588,2079491,4433219,3928762,4548854,2350221,663306
2023-03-15,292726,1017890,2075406,4438163,3926570,4548545,2353243,663306
2023-03-16,293431,1018629,2076284,4438017,3929362,4549760,2347898,663306
2023-03-17,293336,1019101,2076175,4433843,3933844,4549103,2348857,663306
2023-03-18,293251,1018506,2074484,4431902,3928773,4555298,2353137,663306
2023-03-19,293408,1018884,2075153,4432903,3929888,4557302,2348695,663306
2023-03-20,293325,1019178,2075436,4432252,3926907,4559181,2350920,663306
2023-03-21,293679,1019978,2076416,4432442,3928960,4559929,2316679,693306
2023-03-22,293815,1020020,2076413,4430988,3926836,4560585,2320451,693306
2023-03-23,293394,1020918,2077933,4434663,3919816,4528490,2355025,693306
2023-03-24,294372,1022475,2080636,4434670,3928531,4530762,2339794,693306
2023-03-25,294408,1022568,2081514,4434284,3921643,4532220,2345539,693306
2023-03-26,294275,1022911,2082190,4435301,3918231,4532431,2347756,693306
2023-03-27,294137,1023949,2083318,4437883,3914349,4554908,2325502,693306
2023-03-28,294282,1025103,2085367,4437380,3914055,4564411,2314272,693306
2023-03-29,294445,1025519,2086038,4438255,3913714,4564258,2313496,693306
2023-03-30,294486,1025740,2086119,4437391,3908639,4538625,2365685,673306
2023-03-31,294982,1026834,2086761,4438565,3909125,4546513,2354804,673306
2023-04-01,294955,1026996,2087141,4437879,3905869,4537077,2368602,673306
2023-04-02,294684,1027180,2087329,4437214,3906744,4537161,2369095,673306
2023-04-03,294937,1027504,2087520,4438966,3902546,4537686,2371111,673306
2023-04-04,295356,1028295,2088623,4437782,3901815,4540644,2368711,673306
2023-04-05,295904,1029052,2089052,4439439,3907952,4529826,2370862,673306
2023-04-06,295927,1029194,2089242,4438611,3893543,4544598,2371975,673306
2023-04-07,296319,1029684,2089806,4437976,3894232,4530786,2385175,673306
2023-04-08,296537,1029798,2090562,4439061,3893552,4530865,2384533,673306
2023-04-09,296124,1030105,2091204,4439182,3892171,4532806,2384260,673306
2023-04-10,295670,1030093,2091317,4439901,3894431,4553526,2361707,673306
2023-04-11,295302,1030114,2090853,4436814,3874343,4532464,2407667,673306
2023-04-12,294674,1030081,2090645,4433506,3872296,4544348,2403026,673306
2023-04-13,294723,1030416,2090943,4434530,3866263,4555633,2396901,673306
2023-04-14,294765,1030550,2091198,4433531,3869027,4581048,2370177,673306
2023-04-15,294327,1030353,2091087,4435931,3866008,4579175,2374440,673306
2023-04-16,294408,1030657,2091183,4438217,3865398,4577349,2374914,673306
2023-04-17,294498,1030984,2091655,4436934,3868149,4575255,2375601,673306
2023-04-18,294479,1031437,2091413,4436397,3882372,4588120,2349903,673306
2023-04-19,294807,1031691,2091281,4435519,3880526,4577541,2363611,673306
2023-04-20,295294,1032021,2091823,4434557,3884643,4572397,2365055,673306
2023-04-21,295538,1032068,2091533,4434103,3888796,4571183,2363481,673306
2023-04-22,295588,1032017,2091300,4433642,3890631,4567251,2367228,673306
2023-04-23,295773,1032344,2091461,4434009,3889408,4564978,2370590,673306
2023-04-24,294973,1032463,2091528,4433699,3888919,4563813,2374062,673306
2023-04-25,295527,1033039,2092144,4434667,3888984,4563037,2269045,777070
2023-04-26,295871,1033753,2093490,4434237,3888446,4565309,2254495,788736
2023-04-27,296263,1033656,2092939,4433282,3884762,4576364,2249167,788736
2023-04-28,296714,1034088,2092030,4432016,3885694,4586568,2240242,788736
2023-04-29,297219,1034347,2092093,4432377,3881645,4589043,2241460,788736
2023-04-30,297618,1034668,2092248,4432903,3884533,4585972,2241192,788736
2023-05-01,297843,1034637,2092387,4433418,3886413,4582209,2243302,788736
2023-05-02,298569,1035647,2093848,4435871,3890625,4579407,2226572,799182
2023-05-03,299053,1036531,2094121,4436856,3887481,4583432,2224000,799182
2023-05-04,299214,1036640,2093780,4435913,3893040,4565076,2238768,799182
2023-05-05,300194,1037583,2094026,4436950,3886257,4595471,2212688,799182
2023-05-06,300860,1038327,2095017,4437285,3892021,4585990,2214587,799182
2023-05-07,301757,1039467,2095652,4438253,3892757,4590629,2342286,663306
2023-05-08,302376,1040976,2098194,4440800,3896757,4594178,2328425,663306
2023-05-09,302926,1042116,2099430,4443427,3894609,4599109,2321003,663306
2023-05-10,303371,1043054,2101160,4442891,3897330,4594300,2321532,663306
2023-05-11,303638,1043856,2102048,4441981,3895318,4592270,2325485,663306
2023-05-12,303807,1044507,2102812,4440080,3898702,4600530,2315045,663306
2023-05-13,303916,1044796,2103459,4442884,3898202,4597379,2315796,663306
2023-05-14,303822,1044503,2102727,4441468,3888251,4597969,2328728,663306
2023-05-15,304024,1045197,2103477,4443901,3888015,4622321,2301503,663306
2023-05-16,304305,1045554,2104635,4444735,3885594,4621077,2303471,663306
2023-05-17,304346,1045413,2105028,4445348,3887021,4616322,2306852,663306
2023-05-18,304635,1045788,2105481,4445137,3881907,4627784,2300518,663306
2023-05-19,304793,1045972,2105431,4442757,3880663,4619551,2313028,663306
2023-05-20,305020,1045919,2105897,4442536,3882786,4617267,2313583,663306
2023-05-21,304844,1045925,2106484,4442006,3879801,4621328,2313583,663306
2023-05-22,304899,1046045,2106334,4441693,3886396,4614616,2434228,543959
2023-05-23,304978,1046201,2105935,4439533,3885755,4616112,2436678,543959
2023-05-24,304801,1046047,2106170,4442121,3887924,4615276,2433684,543959
2023-05-25,304893,1046548,2106983,4442701,3893047,4602870,2439969,543959
2023-05-26,305260,1046562,2107223,4441307,3885978,4620086,2431515,543959
2023-05-27,305374,1046823,2106849,4441390,3885815,4621459,2431158,543959
2023-05-28,305430,1046815,2106598,4441466,3888845,4617974,2432728,543959
2023-05-29,305430,1046675,2106124,4441308,3892883,4605004,2443438,543959
2023-05-30,305664,1047070,2105546,4441768,3890658,4612966,2438102,543959
2023-05-31,305584,1047151,2106290,4441005,3890429,4616760,2435516,543959
2023-06-01,305776,1047390,2106684,4439980,3886491,4618987,2438214,543959
2023-06-02,305817,1047026,2107088,4438856,3887758,4622121,2435926,543959
2023-06-03,306024,1047539,2106800,4440036,3885134,4616545,2443333,543959
2023-06-04,305733,1047295,2107496,4437970,3885134,4607842,2454828,543959
2023-06-05,305659,1047104,2105843,4438679,3892674,4614967,2442222,543959
2023-06-06,305694,1048408,2108354,4442895,3891570,4603416,2447805,543959
2023-06-07,305963,1050032,2110947,4443252,3890251,4613914,2434551,543959
2023-06-08,305886,1050955,2112392,4445223,3893763,4609334,2432368,543959
2023-06-09,305536,1050889,2112553,4444170,3891548,4610042,2436207,543959
2023-06-10,305189,1051320,2114175,4445173,3892634,4600514,2442862,543959
